customerId,name,orderId,quantity,amount,cancelledTimestamp
165862,Celesta Zieme,1145562,6,87.75,2024-04-23 20:35:24.077572
165863,Rene Hessel,1145563,1,21.350000381469727,2024-04-23 20:35:24.077572
165864,Truman MacGyver,1145564,8,5.28000020980835,2024-04-23 20:35:24.077572
165865,Erin Von,1145565,9,46.369998931884766,2024-04-23 20:35:24.077572
165866,Linnie Bradtke,1145566,2,93.55000305175781,2024-04-23 20:35:24.077572
165868,Alexander Strosin,1145568,7,79.91999816894531,2024-04-23 20:35:24.077572
165869,Samira Smith,1145569,1,58.04999923706055,2024-04-23 20:35:24.077572
165871,Monique Treutel,1145571,8,49.77000045776367,2024-04-23 20:35:24.077572
165872,Allie Erdman,1145572,5,99.95999908447266,2024-04-23 20:35:24.077572
165873,Jaimee Macejkovic,1145573,1,98.01000213623047,2024-04-23 20:35:24.077572
165874,Joane Harris,1145574,3,32.790000915527344,2024-04-23 20:35:24.077572
165875,Renee Fisher,1145575,1,69.76000213623047,2024-04-23 20:35:24.077572
165876,Myles Effertz,1145576,5,61.2599983215332,2024-04-23 20:35:24.077572
165878,Desirae Hamill,1145578,4,63.20000076293945,2024-04-23 20:35:24.077572
165879,Juliette Cronin,1145579,1,65.4000015258789,2024-04-23 20:35:24.077572
165880,Sherry Botsford,1145580,7,49.59000015258789,2024-04-23 20:35:24.077572
165881,Eldon Rutherford,1145581,8,38.58000183105469,2024-04-23 20:35:24.077572
165884,Neoma Rodriguez,1145584,3,47.86000061035156,2024-04-23 20:35:24.077572
165885,Fe Cremin,1145585,6,48.939998626708984,2024-04-23 20:35:24.077572
165886,Juli Ward,1145586,8,47.54999923706055,2024-04-23 20:35:24.077572
165887,Jonna Koss,1145587,1,52.86000061035156,2024-04-23 20:35:24.077572
165888,Randy Waters,1145588,7,23.260000228881836,2024-04-23 20:35:24.077572
165889,Olen Thiel,1145589,1,32.86000061035156,2024-04-23 20:35:24.077572
165890,Jannette Schultz,1145590,6,54.54999923706055,2024-04-23 20:35:24.077572
165891,Lori Stoltenberg,1145591,1,53.099998474121094,2024-04-23 20:35:24.077572
165892,Robby Ziemann,1145592,3,72.83000183105469,2024-04-23 20:35:24.077572
165893,Floy Hamill,1145593,3,79.33000183105469,2024-04-23 20:35:24.077572
165894,Freddy Hodkiewicz,1145594,1,47.130001068115234,2024-04-23 20:35:24.077572
165895,Cary Johnston,1145595,2,62.189998626708984,2024-04-23 20:35:24.077572
165896,Donnell Armstrong,1145596,1,3.1600000858306885,2024-04-23 20:35:24.077572
165897,Alonzo Bode,1145597,6,81.43000030517578,2024-04-23 20:35:24.077572
165898,Michale Okuneva,1145598,6,53.4900016784668,2024-04-23 20:35:24.077572
165899,Shon Johns,1145599,1,44.93000030517578,2024-04-23 20:35:24.077572
165900,Fae Murphy,1145600,5,56.029998779296875,2024-04-23 20:35:24.077572
